TransactionID,Amount,Promo code:,1st installment,2nd,3rd,Payment Date,Payment Date 2nd,Payment Date 3rd,CandID,ManegerID,CourseID,LocationID
TR01,75000,Referals,25000,25000,25000,2021-02-24,NULL,NULL,DMCC2302,MG08,CP01,LC02
TR02,75000,Referals,25000,25000,25000,2021-02-12,NULL,NULL,DMCC2303,MG08,CP01,LC02
TR03,67000,Referals,40000,27000,0,2021-02-28,NULL,NULL,DMCC2304,MG08,CP01,LC02
TR04,0,Ads,0,0,0,null,NULL,NULL,DMCC2305,MG03,CP01,LC02
TR05,57000,Referals,28500,28500,0,2021-03-10,NULL,NULL,DMCC2306,MG08,CP01,LC02
TR06,57000,Referals,28500,0,0,2021-03-11,NULL,NULL,DMCC2307,MG12,CP01,LC02
TR07,0,Referals,0,0,0,2021-03-11,NULL,NULL,DMCC2308,MG12,CP01,LC02
TR08,67000,Referals,10000,0,0,2021-03-22,NULL,NULL,DMCC2309,MG12,CP01,LC02
TR09,0,Referals,0,0,0,null,NULL,NULL,DMCC23010,MG03,CP01,LC02
TR100,35000,ExcelBoss,10000,0,0,2022-06-18,NULL,NULL,DMCC230101,MG05,CP01,LC02
TR1000,75000,Kezi01,40000,35000,0,2023-10-07,NULL,NULL,DMCABJ2200142,MG01,CP01,LC01
TR1001,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200143,MG01,CP01,LC01
TR1002,110000,Kezi01,60000,50000,0,2023-11-02,NULL,NULL,DMCABJ2200144,MG01,CP01,LC01
TR1003,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200145,MG01,CP01,LC01
TR1004,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200146,MG01,CP01,LC01
TR1005,110000,Kezi01,70000,20000,20000,2023-11-28,NULL,NULL,DMCABJ2200147,MG01,CP01,LC01
TR1006,110000,Kezi01,110000,0,0,2023-10-28,NULL,NULL,DMCABJ2200148,MG01,CP01,LC01
TR1007,130000,Kezi01,78000,52000,0,2023-10-20,NULL,NULL,DMCABJ2200149,MG01,CP01,LC01
TR1008,110000,Kezi01,80000,30000,0,2023-11-04,NULL,NULL,DMCABJ2200150,MG01,CP01,LC01
TR1009,130000,Kezi01,130000,0,0,2023-10-26,NULL,NULL,DMCABJ2200151,MG01,CP01,LC01
TR101,45000,ExcelBoss,45000,0,0,2022-06-06,NULL,NULL,DMCC230102,MG05,CP01,LC02
TR1010,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200152,MG01,CP01,LC01
TR1011,130000,Kezi01,78000,0,0,2023-11-04,NULL,NULL,DMCABJ2200153,MG01,CP01,LC01
TR1012,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200154,MG01,CP01,LC01
TR1013,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200155,MG01,CP01,LC01
TR1014,110000,Kezi01,110000,0,0,2023-10-31,NULL,NULL,DMCABJ2200156,MG01,CP01,LC01
TR1015,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200157,MG01,CP01,LC01
TR1016,110000,Kezi01,110000,0,0,2023-11-03,NULL,NULL,DMCABJ2200158,MG01,CP01,LC01
