CandID,Reg_Date,Opportunity type,Success Story,suc_date,Training Session,Training Type,MG_ID,Cos_ID,Loc_ID
DMCC2302,2/9/2021,Closed Won,Email,11/1/2021,Weekend,Physical,MG08,CP01,LC02
DMCC2303,2/12/2021,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC2304,2/28/2021,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC2305,3/8/2021,Prospecting,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC2306,3/11/2021,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC2307,3/11/2021,Part Paid,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC2308,3/11/2021,Prospecting,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC2309,3/22/2021,Part Paid,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23010,3/29/2021,Closed Lost,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23011,4/1/2021,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23012,4/2/2021,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC23013,4/26/2021,Closed Won,,1/17/2022,Weekend,Virtual,MG12,CP01,LC02
DMCC23014,5/1/2021,Closed Won,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23015,5/1/2021,Part Paid,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23016,5/1/2021,Closed Won,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23017,5/4/2021,Prospecting,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23018,5/6/2021,Closed Won,Email,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23019,5/21/2021,Prospecting,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23020,5/21/2021,Prospecting,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23021,5/22/2021,Closed Won,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23022,5/22/2021,Closed Won,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23023,6/10/2021,Closed Won,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23024,6/13/2021,Prospecting,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23025,6/15/2021,Prospecting,,NULL,Weekend,Physical,MG03,CP01,LC02
DMCC23026,6/15/2021,Prospecting,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23027,6/15/2021,Closed Lost,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23028,6/15/2021,Prospecting,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23029,8/1/2021,Part Paid,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23030,8/4/2021,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23031,8/6/2021,Prospecting,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23032,8/6/2021,Prospecting,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23033,8/9/2021,Nurturing,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23034,8/10/2021,Prospecting,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23035,8/10/2021,Prospecting,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23036,8/11/2021,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23037,10/10/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23038,10/10/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
