Customer ID,Age,Gender,Review Rating,Subscription Status,Product_ID
Cu01,55,Male,3.1,Yes,PR01
Cu02,19,Male,3.1,Yes,PR02
Cu03,50,Male,3.1,Yes,PR03
Cu04,21,Male,3.5,Yes,PR04
Cu05,45,Male,2.7,Yes,PR05
Cu06,46,Male,2.9,Yes,PR06
Cu07,63,Male,3.2,Yes,PR07
Cu08,27,Male,3.2,Yes,PR08
Cu09,26,Male,2.6,Yes,PR09
Cu10,57,Male,4.8,Yes,PR10
Cu11,53,Male,4.1,Yes,PR11
Cu12,30,Male,4.9,Yes,PR12
Cu13,61,Male,4.5,Yes,PR13
Cu14,65,Male,4.7,Yes,PR14
Cu15,64,Male,4.7,Yes,PR15
Cu16,64,Male,2.8,Yes,PR16
Cu17,25,Male,4.1,Yes,PR17
Cu18,53,Male,4.7,Yes,PR18
Cu19,52,Male,4.6,Yes,PR19
Cu20,66,Male,3.3,Yes,PR20
Cu21,21,Male,2.8,Yes,PR21
Cu22,31,Male,4.1,Yes,PR22
Cu23,56,Male,3.2,Yes,PR23
Cu24,31,Male,4.4,Yes,PR24
Cu25,18,Male,2.9,Yes,PR25
Cu26,18,Male,3.6,Yes,PR26
Cu27,38,Male,3.6,Yes,PR27
Cu28,56,Male,5,Yes,PR28
Cu29,54,Male,4.4,Yes,PR29
Cu30,31,Male,4.1,Yes,PR30
Cu31,57,Male,4.7,Yes,PR31
Cu32,33,Male,4.7,Yes,PR32
Cu33,36,Male,4.9,Yes,PR33
Cu34,54,Male,3.3,Yes,PR34
Cu35,36,Male,4.6,Yes,PR35
Cu36,54,Male,4,Yes,PR36
Cu37,35,Male,4.6,Yes,PR37
Cu38,35,Male,2.8,Yes,PR38
Cu39,29,Male,3.7,Yes,PR39
Cu40,70,Male,4.2,Yes,PR40
Cu41,69,Male,4.6,Yes,PR41
Cu42,67,Male,4.5,Yes,PR42
Cu43,20,Male,4.1,Yes,PR43
Cu44,25,Male,3.7,Yes,PR44
Cu45,39,Male,4.6,Yes,PR45
Cu46,50,Male,2.9,Yes,PR46
Cu47,57,Male,2.9,Yes,PR47
Cu48,55,Male,4.5,Yes,PR48
Cu49,42,Male,2.7,Yes,PR49
Cu50,68,Male,4.6,Yes,PR50
Cu51,49,Male,3.7,Yes,PR51
Cu52,59,Male,4.7,Yes,PR52
Cu53,42,Male,2.6,Yes,PR53
Cu54,29,Male,3.9,Yes,PR54
Cu55,47,Male,4.2,Yes,PR55
Cu56,40,Male,3,Yes,PR56
Cu57,41,Male,4.7,Yes,PR57
Cu58,21,Male,4.4,Yes,PR58
Cu59,69,Male,4.2,Yes,PR59
Cu60,63,Male,4.6,Yes,PR60
Cu61,50,Male,4,Yes,PR61
Cu62,55,Male,4.7,Yes,PR62
Cu63,30,Male,3.8,Yes,PR63
Cu64,33,Male,2.7,Yes,PR64
Cu65,65,Male,4.8,Yes,PR65
Cu66,65,Male,4.8,Yes,PR66
Cu67,31,Male,4.7,Yes,PR67
Cu68,45,Male,4.4,Yes,PR68
Cu69,57,Male,3.9,Yes,PR69
Cu70,48,Male,4.4,Yes,PR70
Cu71,22,Male,4.2,Yes,PR71
Cu72,36,Male,2.9,Yes,PR72
Cu73,18,Male,2.9,Yes,PR73
Cu74,48,Male,2.7,Yes,PR74
Cu75,49,Male,4.5,Yes,PR75
Cu76,64,Male,2.7,Yes,PR76
Cu77,50,Male,4.2,Yes,PR77
Cu78,22,Male,3.3,Yes,PR78
Cu79,50,Male,4.7,Yes,PR79
Cu80,38,Male,2.6,Yes,PR80
Cu81,19,Male,3.3,Yes,PR81
Cu82,67,Male,2.6,Yes,PR82
Cu83,19,Male,4,Yes,PR83
Cu84,36,Male,4.1,Yes,PR84
Cu85,52,Male,4.4,Yes,PR85
Cu86,53,Male,4.5,Yes,PR86
Cu87,24,Male,3.7,Yes,PR87
Cu88,52,Male,3.7,Yes,PR88
Cu89,33,Male,3.5,Yes,PR89
Cu90,47,Male,3.6,Yes,PR90
Cu91,25,Male,2.9,Yes,PR91
Cu92,44,Male,4.6,Yes,PR92
Cu93,61,Male,4.4,Yes,PR93
Cu94,37,Male,4.5,Yes,PR94
Cu95,58,Male,4.6,Yes,PR95
Cu96,37,Male,3.8,Yes,PR96
Cu97,32,Male,3.6,Yes,PR97
Cu98,21,Male,4.8,Yes,PR98
Cu99,20,Male,2.6,Yes,PR99
Cu100,26,Male,3.7,Yes,PR100
Cu101,62,Male,2.7,Yes,PR101
Cu102,27,Male,4.6,Yes,PR102
Cu103,51,Male,4.8,Yes,PR103
Cu104,54,Male,4,Yes,PR104
Cu105,55,Male,4.4,Yes,PR105
Cu106,69,Male,3.6,Yes,PR106
Cu107,64,Male,3.7,Yes,PR107
Cu108,28,Male,3.1,Yes,PR108
Cu109,70,Male,3.4,Yes,PR109
Cu110,58,Male,2.6,Yes,PR110
Cu111,56,Male,4,Yes,PR111
Cu112,26,Male,5,Yes,PR112
Cu113,37,Male,4.3,Yes,PR113
Cu114,44,Male,3.1,Yes,PR114
Cu115,70,Male,3.7,Yes,PR115
Cu116,53,Male,3.8,Yes,PR116
Cu117,55,Male,3.4,Yes,PR117
Cu118,50,Male,4.6,Yes,PR118
Cu119,50,Male,4.8,Yes,PR119
Cu120,38,Male,4.3,Yes,PR120
Cu121,64,Male,4,Yes,PR121
Cu122,19,Male,4.2,Yes,PR122
Cu123,40,Male,4.8,Yes,PR123
Cu124,57,Male,3.1,Yes,PR124
Cu125,44,Male,3.1,Yes,PR125
Cu126,49,Male,3.6,Yes,PR126
Cu127,43,Male,3.9,Yes,PR127
Cu128,24,Male,4.8,Yes,PR128
Cu129,20,Male,4.7,Yes,PR129
Cu130,24,Male,4.2,Yes,PR130
Cu131,44,Male,3.7,Yes,PR131
Cu132,28,Male,3.9,Yes,PR132
Cu133,30,Male,4.7,Yes,PR133
Cu134,52,Male,2.5,Yes,PR134
Cu135,43,Male,4.9,Yes,PR135
Cu136,43,Male,4.1,Yes,PR136
Cu137,39,Male,3.3,Yes,PR137
Cu138,68,Male,4.7,Yes,PR138
Cu139,68,Male,4.4,Yes,PR139
Cu140,49,Male,3.8,Yes,PR140
Cu141,63,Male,3.9,Yes,PR141
Cu142,56,Male,4.9,Yes,PR142
Cu143,37,Male,3.1,Yes,PR143
Cu144,30,Male,2.7,Yes,PR144
Cu145,19,Male,3.2,Yes,PR145
Cu146,24,Male,4.5,Yes,PR146
Cu147,52,Male,4,Yes,PR147
Cu148,63,Male,3.5,Yes,PR148
Cu149,37,Male,2.6,Yes,PR149
Cu150,38,Male,3.2,Yes,PR150
Cu151,35,Male,4.9,Yes,PR151
Cu152,28,Male,4.5,Yes,PR152
Cu153,30,Male,4.3,Yes,PR153
Cu154,69,Male,3.2,Yes,PR154
Cu155,41,Male,3.6,Yes,PR155
Cu156,63,Male,4.3,Yes,PR156
Cu157,35,Male,4,Yes,PR157
Cu158,36,Male,3,Yes,PR158
Cu159,25,Male,4.1,Yes,PR159
Cu160,58,Male,3.8,Yes,PR160
Cu161,27,Male,4.6,Yes,PR161
Cu162,65,Male,3,Yes,PR162
Cu163,54,Male,3,Yes,PR163
Cu164,54,Male,3.4,Yes,PR164
Cu165,59,Male,2.6,Yes,PR165
Cu166,42,Male,2.8,Yes,PR166
Cu167,46,Male,4,Yes,PR167
Cu168,33,Male,4,Yes,PR168
Cu169,34,Male,3,Yes,PR169
Cu170,27,Male,3.3,Yes,PR170
Cu171,52,Male,2.6,Yes,PR171
Cu172,29,Male,3.6,Yes,PR172
Cu173,54,Male,3.9,Yes,PR173
