Product_ID,Item Purchased,Category,Size,Color,Season,Previous Purchases,Frequency of Purchases
PR01,Blouse,Clothing,L,Gray,Winter,14,Fortnightly
PR02,Sweater,Clothing,L,Maroon,Winter,2,Fortnightly
PR03,Jeans,Clothing,S,Maroon,Spring,23,Weekly
PR04,Sandals,Footwear,M,Maroon,Spring,49,Weekly
PR05,Blouse,Clothing,M,Turquoise,Spring,31,Annually
PR06,Sneakers,Footwear,M,White,Summer,14,Weekly
PR07,Shirt,Clothing,M,Gray,Fall,49,Quarterly
PR08,Shorts,Clothing,L,Charcoal,Winter,19,Weekly
PR09,Coat,Outerwear,L,Silver,Summer,8,Annually
PR10,Handbag,Accessories,M,Pink,Spring,4,Quarterly
PR11,Shoes,Footwear,L,Purple,Fall,26,Bi-Weekly
PR12,Shorts,Clothing,S,Olive,Winter,10,Fortnightly
PR13,Coat,Outerwear,M,Gold,Winter,37,Fortnightly
PR14,Dress,Clothing,M,Violet,Spring,31,Weekly
PR15,Coat,Outerwear,L,Teal,Winter,34,Weekly
PR16,Skirt,Clothing,M,Teal,Winter,8,Monthly
PR17,Sunglasses,Accessories,S,Gray,Spring,44,Bi-Weekly
PR18,Dress,Clothing,XL,Lavender,Winter,36,Quarterly
PR19,Sweater,Clothing,S,Black,Summer,17,Weekly
PR20,Pants,Clothing,M,Green,Summer,46,Bi-Weekly
PR21,Pants,Clothing,M,Black,Winter,50,Every 3 Months
PR22,Pants,Clothing,M,Charcoal,Winter,22,Quarterly
PR23,Pants,Clothing,M,Peach,Summer,32,Annually
PR24,Pants,Clothing,XL,White,Winter,40,Weekly
PR25,Jacket,Outerwear,M,Green,Fall,16,Weekly
PR26,Hoodie,Clothing,M,Silver,Summer,14,Annually
PR27,Jewelry,Accessories,M,Red,Spring,13,Annually
PR28,Shorts,Clothing,L,Cyan,Summer,7,Every 3 Months
PR29,Handbag,Accessories,M,Gray,Fall,41,Every 3 Months
PR30,Dress,Clothing,S,Black,Fall,14,Weekly
PR31,Jewelry,Accessories,L,Black,Winter,16,Monthly
PR32,Dress,Clothing,L,Brown,Winter,45,Monthly
PR33,Jacket,Outerwear,M,Silver,Summer,37,Annually
PR34,Pants,Clothing,L,Green,Summer,45,Quarterly
PR35,T-shirt,Clothing,L,Violet,Spring,38,Quarterly
PR36,Blouse,Clothing,M,Cyan,Summer,48,Bi-Weekly
PR37,T-shirt,Clothing,M,Maroon,Winter,44,Fortnightly
PR38,Jeans,Clothing,S,Cyan,Summer,10,Weekly
PR39,Dress,Clothing,M,Red,Winter,44,Every 3 Months
PR40,Pants,Clothing,S,Turquoise,Summer,18,Monthly
PR41,Handbag,Accessories,L,Beige,Winter,31,Quarterly
PR42,Scarf,Accessories,M,Orange,Spring,40,Annually
PR43,Coat,Outerwear,M,Beige,Spring,15,Annually
PR44,Scarf,Accessories,L,Lavender,Fall,19,Fortnightly
PR45,Hat,Accessories,S,Silver,Summer,45,Weekly
PR46,Socks,Clothing,XL,Indigo,Fall,25,Annually
PR47,Shirt,Clothing,L,White,Summer,45,Quarterly
PR48,Jewelry,Accessories,M,Charcoal,Winter,36,Weekly
PR49,Shirt,Clothing,M,Orange,Summer,38,Monthly
PR50,Hoodie,Clothing,S,Indigo,Spring,34,Bi-Weekly
PR51,Blouse,Clothing,M,Red,Spring,39,Bi-Weekly
PR52,Skirt,Clothing,XL,Gray,Winter,7,Quarterly
PR53,T-shirt,Clothing,M,Green,Summer,26,Weekly
PR54,Skirt,Clothing,S,Peach,Winter,35,Weekly
PR55,Coat,Outerwear,M,Brown,Summer,35,Bi-Weekly
PR56,Jacket,Outerwear,M,Lavender,Winter,49,Annually
PR57,Backpack,Accessories,XL,Brown,Summer,46,Weekly
PR58,Coat,Outerwear,M,White,Summer,17,Fortnightly
PR59,Hoodie,Clothing,M,Charcoal,Summer,29,Monthly
PR60,Belt,Accessories,L,Yellow,Spring,4,Weekly
PR61,Sweater,Clothing,L,Brown,Summer,17,Weekly
PR62,Scarf,Accessories,M,Orange,Winter,21,Every 3 Months
PR63,Sneakers,Footwear,S,Magenta,Spring,31,Fortnightly
PR64,Sunglasses,Accessories,L,Lavender,Winter,43,Weekly
PR65,Boots,Footwear,S,Green,Fall,18,Fortnightly
PR66,Backpack,Accessories,M,Purple,Spring,44,Every 3 Months
PR67,Blouse,Clothing,S,Magenta,Winter,3,Every 3 Months
PR68,Coat,Outerwear,L,Gray,Winter,49,Monthly
PR69,Handbag,Accessories,L,Silver,Summer,21,Every 3 Months
PR70,Belt,Accessories,S,Cyan,Summer,5,Weekly
PR71,Belt,Accessories,M,Magenta,Fall,32,Every 3 Months
PR72,Dress,Clothing,L,Gold,Summer,34,Annually
PR73,Dress,Clothing,M,Olive,Winter,21,Every 3 Months
PR74,Pants,Clothing,M,Teal,Spring,43,Bi-Weekly
PR75,Gloves,Accessories,L,Violet,Spring,3,Monthly
PR76,Scarf,Accessories,M,Blue,Summer,21,Annually
PR77,Hat,Accessories,S,Teal,Summer,32,Monthly
PR78,Dress,Clothing,L,Gold,Summer,36,Fortnightly
PR79,Skirt,Clothing,M,Maroon,Spring,50,Fortnightly
PR80,Jacket,Outerwear,M,Olive,Winter,43,Every 3 Months
PR81,Sandals,Footwear,XL,Blue,Summer,24,Every 3 Months
PR82,Shoes,Footwear,L,Maroon,Summer,36,Every 3 Months
PR83,Pants,Clothing,S,Olive,Spring,21,Every 3 Months
PR84,Dress,Clothing,M,Turquoise,Summer,34,Weekly
PR85,Coat,Outerwear,S,Peach,Spring,42,Every 3 Months
PR86,Sunglasses,Accessories,M,Charcoal,Winter,2,Bi-Weekly
PR87,Hoodie,Clothing,L,Pink,Spring,47,Bi-Weekly
PR88,Shoes,Footwear,M,Green,Fall,44,Fortnightly
PR89,T-shirt,Clothing,M,Orange,Fall,35,Monthly
PR90,Jacket,Outerwear,XL,Pink,Fall,15,Quarterly
PR91,Hat,Accessories,L,Violet,Summer,29,Monthly
PR92,Scarf,Accessories,S,Green,Winter,18,Every 3 Months
PR93,Jacket,Outerwear,M,Olive,Winter,13,Every 3 Months
PR94,Sweater,Clothing,M,Purple,Fall,46,Weekly
PR95,Skirt,Clothing,S,Silver,Spring,28,Weekly
PR96,Sneakers,Footwear,L,Pink,Fall,48,Monthly
PR97,Gloves,Accessories,S,Gold,Spring,43,Every 3 Months
PR98,Shoes,Footwear,M,Teal,Winter,37,Annually
PR99,Jeans,Clothing,XL,Teal,Spring,20,Annually
PR100,Hoodie,Clothing,XL,Indigo,Summer,33,Quarterly
PR101,Sunglasses,Accessories,M,Maroon,Fall,31,Fortnightly
PR102,Coat,Outerwear,XL,White,Spring,50,Bi-Weekly
PR103,Socks,Clothing,L,Violet,Winter,35,Quarterly
PR104,Boots,Footwear,L,Red,Winter,22,Bi-Weekly
PR105,Sunglasses,Accessories,L,Pink,Spring,1,Monthly
PR106,Backpack,Accessories,M,Charcoal,Fall,4,Annually
PR107,Jacket,Outerwear,L,White,Summer,31,Monthly
PR108,Sneakers,Footwear,L,Olive,Winter,46,Fortnightly
PR109,Socks,Clothing,L,Purple,Spring,32,Bi-Weekly
PR110,T-shirt,Clothing,M,Violet,Spring,43,Fortnightly
PR111,Backpack,Accessories,M,Black,Summer,26,Fortnightly
PR112,Belt,Accessories,L,Purple,Summer,9,Annually
PR113,Gloves,Accessories,M,Red,Spring,28,Bi-Weekly
PR114,Hat,Accessories,L,Maroon,Winter,20,Quarterly
PR115,Coat,Outerwear,S,Blue,Summer,9,Weekly
PR116,Skirt,Clothing,M,Gray,Spring,48,Every 3 Months
PR117,Shoes,Footwear,S,Blue,Spring,12,Annually
PR118,Sandals,Footwear,L,Yellow,Summer,29,Fortnightly
PR119,Sweater,Clothing,L,Orange,Fall,27,Bi-Weekly
PR120,Coat,Outerwear,M,Orange,Fall,44,Annually
PR121,Hat,Accessories,L,Red,Summer,32,Annually
PR122,Shorts,Clothing,M,Olive,Winter,11,Fortnightly
PR123,Backpack,Accessories,L,Brown,Spring,44,Fortnightly
PR124,Sweater,Clothing,L,Brown,Fall,46,Weekly
PR125,Sweater,Clothing,M,Gray,Spring,50,Annually
PR126,Shorts,Clothing,M,Indigo,Winter,45,Every 3 Months
PR127,Shorts,Clothing,L,Pink,Spring,48,Every 3 Months
