Trans_ID,Purchase Amount (USD),Location,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Preferred Payment Method,Product_ID,Customer ID
TR01,53,Kentucky,Credit Card,Express,Yes,Yes,Venmo,PR01,Cu01
TR02,64,Maine,Bank Transfer,Express,Yes,Yes,Cash,PR02,Cu02
TR03,73,Massachusetts,Cash,Free Shipping,Yes,Yes,Credit Card,PR03,Cu03
TR04,90,Rhode Island,PayPal,Next Day Air,Yes,Yes,PayPal,PR04,Cu04
TR05,49,Oregon,Cash,Free Shipping,Yes,Yes,PayPal,PR05,Cu05
TR06,20,Wyoming,Venmo,Standard,Yes,Yes,Venmo,PR06,Cu06
TR07,85,Montana,Debit Card,Free Shipping,Yes,Yes,Cash,PR07,Cu07
TR08,34,Louisiana,Debit Card,Free Shipping,Yes,Yes,Credit Card,PR08,Cu08
TR09,97,West Virginia,Venmo,Express,Yes,Yes,Venmo,PR09,Cu09
TR10,31,Missouri,PayPal,2-Day Shipping,Yes,Yes,Cash,PR10,Cu10
TR11,34,Arkansas,Credit Card,Store Pickup,Yes,Yes,Bank Transfer,PR11,Cu11
TR12,68,Hawaii,PayPal,Store Pickup,Yes,Yes,Bank Transfer,PR12,Cu12
TR13,72,Delaware,PayPal,Express,Yes,Yes,Venmo,PR13,Cu13
TR14,51,New Hampshire,Debit Card,Express,Yes,Yes,PayPal,PR14,Cu14
TR15,53,New York,PayPal,Free Shipping,Yes,Yes,Debit Card,PR15,Cu15
TR16,81,Rhode Island,Credit Card,Store Pickup,Yes,Yes,PayPal,PR16,Cu16
TR17,36,Alabama,Venmo,Next Day Air,Yes,Yes,Debit Card,PR17,Cu17
TR18,38,Mississippi,Debit Card,2-Day Shipping,Yes,Yes,Venmo,PR18,Cu18
TR19,48,Montana,Bank Transfer,Free Shipping,Yes,Yes,Cash,PR19,Cu19
TR20,90,Rhode Island,Venmo,Standard,Yes,Yes,Debit Card,PR20,Cu20
TR21,51,Louisiana,Credit Card,Express,Yes,Yes,Cash,PR21,Cu21
TR22,62,North Carolina,Credit Card,Store Pickup,Yes,Yes,Debit Card,PR22,Cu22
TR23,37,California,Cash,Store Pickup,Yes,Yes,Debit Card,PR23,Cu23
TR24,88,Oklahoma,Credit Card,Express,Yes,Yes,Credit Card,PR24,Cu24
TR25,22,Florida,Cash,Store Pickup,Yes,Yes,Debit Card,PR25,Cu25
TR26,25,Texas,Bank Transfer,Express,Yes,Yes,PayPal,PR26,Cu26
TR27,20,Nevada,Cash,Next Day Air,Yes,Yes,Credit Card,PR27,Cu27
TR28,56,Kentucky,Debit Card,Next Day Air,Yes,Yes,Bank Transfer,PR28,Cu28
TR29,94,North Carolina,Debit Card,Free Shipping,Yes,Yes,PayPal,PR29,Cu29
TR30,48,Wyoming,Venmo,Store Pickup,Yes,Yes,Credit Card,PR30,Cu30
TR31,31,North Carolina,Bank Transfer,Standard,Yes,Yes,Credit Card,PR31,Cu31
TR32,79,West Virginia,Venmo,Store Pickup,Yes,Yes,Venmo,PR32,Cu32
TR33,67,Kansas,Bank Transfer,Free Shipping,Yes,Yes,Venmo,PR33,Cu33
TR34,38,Colorado,Venmo,Store Pickup,Yes,Yes,Cash,PR34,Cu34
TR35,91,North Dakota,Debit Card,2-Day Shipping,Yes,Yes,PayPal,PR35,Cu35
TR36,33,Massachusetts,Bank Transfer,2-Day Shipping,Yes,Yes,Credit Card,PR36,Cu36
TR37,69,Illinois,Cash,Free Shipping,Yes,Yes,PayPal,PR37,Cu37
TR38,45,Indiana,Debit Card,Store Pickup,Yes,Yes,PayPal,PR38,Cu38
TR39,37,Florida,Debit Card,2-Day Shipping,Yes,Yes,Venmo,PR39,Cu39
TR40,60,Arizona,Bank Transfer,Express,Yes,Yes,Credit Card,PR40,Cu40
TR41,76,Louisiana,PayPal,Next Day Air,Yes,Yes,Debit Card,PR41,Cu41
TR42,39,Alaska,Cash,Standard,Yes,Yes,Venmo,PR42,Cu42
TR43,100,Tennessee,Bank Transfer,Free Shipping,Yes,Yes,PayPal,PR43,Cu43
TR44,69,Ohio,PayPal,Store Pickup,Yes,Yes,PayPal,PR44,Cu44
